[20/Jun/2016:15:45:47] ;;;; (action2) ;;;; UserName :::: PS1 ;;;; Action:::: Query ;;;; Query :::: (Select  *  from "t_items" LIMIT 10; ) ;;;; PageVisited :::: QueryPage
[20/Jun/2016:15:46:06] ;;;; (action2) ;;;; UserName :::: PS1 ;;;; Action:::: Query ;;;; Query :::: (Select  *  from "t_items" Where "t_items"."item_name" LIKE '%hack%' LIMIT 10; ) ;;;; PageVisited :::: QueryPage
[20/Jun/2016:15:57:55] ;;;; (action2) ;;;; UserName :::: PS1 ;;;; Action:::: Query ;;;; Query :::: (Select  *  from "items" order by "id_ve" ASC LIMIT 10; ) ;;;; PageVisited :::: QueryPage
[20/Jun/2016:15:57:55] ;;;; (action2) ;;;; UserName :::: PS1 ;;;; Action:::: Query ;;;; Query :::: (Select  *  from "items" order by "id_ve" ASC LIMIT 10; ) ;;;; PageVisited :::: QueryPage
[20/Jun/2016:16:01:35] ;;;; (action2) ;;;; UserName :::: PS1 ;;;; Action:::: Query ;;;; Query :::: (Select  *  from "t_items" LIMIT 10; ) ;;;; PageVisited :::: QueryPage
[21/Jun/2016:00:50:17] ;;;; (action2) ;;;; UserName :::: PS1 ;;;; Action:::: Query ;;;; Query :::: (Select  *  from "items"Where "items"."date_item" >= '06/22/1991' AND "items"."date_item" <= '06/22/2013' LIMIT 10; ) ;;;; PageVisited :::: QueryPage
[21/Jun/2016:00:50:26] ;;;; (action2) ;;;; UserName :::: PS1 ;;;; Action:::: Query ;;;; Query :::: (Select  *  from "items"Where "items"."date_item" >= '06/22/1991' AND "items"."date_item" <= '06/22/2013' LIMIT 10; ) ;;;; PageVisited :::: QueryPage
[21/Jun/2016:00:52:37] ;;;; (action2) ;;;; UserName :::: PS1 ;;;; Action:::: Query ;;;; Query :::: (Select  *  from "items"Where "items"."date_item" >= '06/22/1991' AND "items"."date_item" <= '06/22/2017' LIMIT 10; ) ;;;; PageVisited :::: QueryPage
[21/Jun/2016:00:52:46] ;;;; (action2) ;;;; UserName :::: PS1 ;;;; Action:::: Query ;;;; Query :::: (Select  *  from "labels_training" LIMIT 10; ) ;;;; PageVisited :::: QueryPage
[21/Jun/2016:00:53:03] ;;;; (action2) ;;;; UserName :::: PS1 ;;;; Action:::: Query ;;;; Query :::: (Select  *  from "items" Where "items"."date_item" >= '06/22/1991' AND "items"."date_item" <= '06/22/2017' AND DATE("items"."date_item") = CURRENT_DATE LIMIT 10; ) ;;;; PageVisited :::: QueryPage
[21/Jun/2016:00:53:20] ;;;; (action2) ;;;; UserName :::: PS1 ;;;; Action:::: Query ;;;; Query :::: (Select  *  from "items" Where "items"."date_item" >= '06/22/1991' AND "items"."date_item" <= '06/22/2017' AND DATE("items"."date_item") >= date_trunc('year', CURRENT_DATE - INTERVAL '1 year' ) AND    DATE("items"."date_item") <  date_trunc('year', CURRENT_DATE) LIMIT 10; ) ;;;; PageVisited :::: QueryPage
