[22/Jun/2016:15:29:17] ;;;; (action2) ;;;; UserName :::: PS1 ;;;; Action:::: Query ;;;; Query :::: (Select  *  from "t_cluster" LIMIT 10; ) ;;;; PageVisited :::: QueryPage
[22/Jun/2016:20:44:47] ;;;; (action2) ;;;; UserName :::: PS1 ;;;; Action:::: Query ;;;; Query :::: (Select  *  from "vitems_related_super" LIMIT 10; ) ;;;; PageVisited :::: QueryPage
[22/Jun/2016:20:45:36] ;;;; (action2) ;;;; UserName :::: PS1 ;;;; Action:::: Query ;;;; Query :::: (Select  *  from "v_t_items_related_super" Where"v_t_items_related_super"."selling_price" > 2000  LIMIT 10; ) ;;;; PageVisited :::: QueryPage
[22/Jun/2016:21:18:18] ;;;; (action2) ;;;; UserName :::: PS1 ;;;; Action:::: Query ;;;; Query :::: (Select  *  from "v_t_items_related_super" LIMIT 10; ) ;;;; PageVisited :::: QueryPage
[22/Jun/2016:21:18:25] ;;;; (action2) ;;;; UserName :::: PS1 ;;;; Action:::: Query ;;;; Query :::: (Select "v_t_items_related_super"."mk_id" , "v_t_items_related_super"."item_id" , "v_t_items_related_super"."ve_id" , "v_t_items_related_super"."item_name" , "v_t_items_related_super"."item_description" , "v_t_items_related_super"."item_cve" , "v_t_items_related_super"."item_ms" , "v_t_items_related_super"."item_category" , "v_t_items_related_super"."item_escrowinfo" , "v_t_items_related_super"."item_views" , "v_t_items_related_super"."item_added_date" , "v_t_items_related_super"."item_last_view_date" , "v_t_items_related_super"."selling_price" , "v_t_items_related_super"."item_quantity_sold" , "v_t_items_related_super"."item_quantity_left" , "v_t_items_related_super"."item_shipped_from" , "v_t_items_related_super"."item_shipped_to" , "v_t_items_related_super"."item_vendor_rating" , "v_t_items_related_super"."item_successful_trans" , "v_t_items_related_super"."item_termsandconditions" , "v_t_items_related_super"."created_date" , "v_t_items_related_super"."class_score" from "v_t_items_related_super" LIMIT 10; ) ;;;; PageVisited :::: QueryPage
[22/Jun/2016:21:18:30] ;;;; (action2) ;;;; UserName :::: PS1 ;;;; Action:::: Query ;;;; Query :::: (Select "v_t_items_related_super"."mk_id" , "v_t_items_related_super"."item_id" , "v_t_items_related_super"."ve_id" , "v_t_items_related_super"."item_name" , "v_t_items_related_super"."item_description" , "v_t_items_related_super"."item_cve" , "v_t_items_related_super"."item_ms" , "v_t_items_related_super"."item_category" , "v_t_items_related_super"."item_escrowinfo" , "v_t_items_related_super"."item_views" , "v_t_items_related_super"."item_added_date" , "v_t_items_related_super"."item_last_view_date" , "v_t_items_related_super"."selling_price" , "v_t_items_related_super"."item_quantity_sold" , "v_t_items_related_super"."item_quantity_left" , "v_t_items_related_super"."item_shipped_from" , "v_t_items_related_super"."item_shipped_to" , "v_t_items_related_super"."item_vendor_rating" , "v_t_items_related_super"."item_successful_trans" , "v_t_items_related_super"."item_termsandconditions" , "v_t_items_related_super"."created_date" , "v_t_items_related_super"."class_score" from "v_t_items_related_super" LIMIT 10; ) ;;;; PageVisited :::: QueryPage
[22/Jun/2016:21:18:44] ;;;; (action2) ;;;; UserName :::: PS1 ;;;; Action:::: Query ;;;; Query :::: (Select "v_t_items_related_super"."mk_id" , "v_t_items_related_super"."item_id" , "v_t_items_related_super"."ve_id" , "v_t_items_related_super"."item_name" , "v_t_items_related_super"."item_description" , "v_t_items_related_super"."item_cve" , "v_t_items_related_super"."item_ms" , "v_t_items_related_super"."item_category" , "v_t_items_related_super"."item_escrowinfo" , "v_t_items_related_super"."item_views" , "v_t_items_related_super"."item_added_date" , "v_t_items_related_super"."item_last_view_date" , "v_t_items_related_super"."selling_price" , "v_t_items_related_super"."item_quantity_sold" , "v_t_items_related_super"."item_quantity_left" , "v_t_items_related_super"."item_shipped_from" , "v_t_items_related_super"."item_shipped_to" , "v_t_items_related_super"."item_vendor_rating" , "v_t_items_related_super"."item_successful_trans" , "v_t_items_related_super"."item_termsandconditions" , "v_t_items_related_super"."created_date" , "v_t_items_related_super"."class_score" from "v_t_items_related_super" LIMIT 10; ) ;;;; PageVisited :::: QueryPage
[22/Jun/2016:21:18:52] ;;;; (action2) ;;;; UserName :::: PS1 ;;;; Action:::: Query ;;;; Query :::: (Select "v_t_items_related_super"."mk_id" , "v_t_items_related_super"."item_id" , "v_t_items_related_super"."ve_id" , "v_t_items_related_super"."item_name" , "v_t_items_related_super"."item_description" , "v_t_items_related_super"."item_cve" , "v_t_items_related_super"."item_ms" , "v_t_items_related_super"."item_category" , "v_t_items_related_super"."item_escrowinfo" , "v_t_items_related_super"."item_views" , "v_t_items_related_super"."item_added_date" , "v_t_items_related_super"."item_last_view_date" , "v_t_items_related_super"."selling_price" , "v_t_items_related_super"."item_quantity_sold" , "v_t_items_related_super"."item_quantity_left" , "v_t_items_related_super"."item_shipped_from" , "v_t_items_related_super"."item_shipped_to" , "v_t_items_related_super"."item_vendor_rating" , "v_t_items_related_super"."item_successful_trans" , "v_t_items_related_super"."item_termsandconditions" , "v_t_items_related_super"."created_date" , "v_t_items_related_super"."class_score" from "v_t_items_related_super" LIMIT 10; ) ;;;; PageVisited :::: QueryPage
[22/Jun/2016:21:38:20] ;;;; (action2) ;;;; UserName :::: PS1 ;;;; Action:::: Query ;;;; Query :::: (Select  *  from "items" LIMIT 10; ) ;;;; PageVisited :::: QueryPage
[22/Jun/2016:22:50:14] ;;;; (action2) ;;;; UserName :::: PS1 ;;;; Action:::: Query ;;;; Query :::: (Select  *  from "items" LIMIT 10; ) ;;;; PageVisited :::: QueryPage
[22/Jun/2016:22:50:23] ;;;; (action2) ;;;; UserName :::: PS1 ;;;; Action:::: Query ;;;; Query :::: (Select "items"."id_mk" , "items"."date_item" , "items"."name_item" , "items"."description_item" , "items"."ms_item" , "items"."category_item" , "items"."escrowinfo_item" , "items"."views_item" , "items"."reviews_item" , "items"."addeddate_item" , "items"."lastvieweddate_item" , "items"."btcsellingprice_item" , "items"."usdsellingprice_item" , "items"."eurosellingprice_item" , "items"."quantitysold_item" , "items"."quantityleft_item" , "items"."shippedfrom_item" , "items"."shippedto_item" , "items"."vendorrating" , "items"."successfulltransactions" , "items"."termsandconditions" , "items"."dateinserted_item" , "items"."classification_item" , "items"."id" , "items"."classification_semi_item" , "items"."vendor_rating_new" , "items"."added_date_new" from "items" LIMIT 10; ) ;;;; PageVisited :::: QueryPage
