[28/Jun/2016:01:04:44] ;;;; (action2) ;;;; UserName :::: PS1 ;;;; Action:::: Query ;;;; Query :::: (Select  *  from "items" LIMIT 10; ) ;;;; PageVisited :::: QueryPage
[28/Jun/2016:02:13:45] ;;;; (action2) ;;;; UserName :::: PS1 ;;;; Action:::: Query ;;;; Query :::: (Select  *  from "dummy_2" LIMIT 10; ) ;;;; PageVisited :::: QueryPage
[28/Jun/2016:02:26:51] ;;;; (action2) ;;;; UserName :::: PS1 ;;;; Action:::: Query ;;;; Query :::: (Select  *  from "dummy_2" LIMIT 10; ) ;;;; PageVisited :::: QueryPage
[28/Jun/2016:02:31:15] ;;;; (action2) ;;;; UserName :::: PS1 ;;;; Action:::: Query ;;;; Query :::: (Select  *  from "dummy_2" LIMIT 10; ) ;;;; PageVisited :::: QueryPage
[28/Jun/2016:02:45:32] ;;;; (action2) ;;;; UserName :::: PS1 ;;;; Action:::: Query ;;;; Query :::: (Select  *  from "dummy_1" LIMIT 10; ) ;;;; PageVisited :::: QueryPage
[28/Jun/2016:02:48:49] ;;;; (action2) ;;;; UserName :::: PS1 ;;;; Action:::: Query ;;;; Query :::: (Select  *  from "dummy_2" LIMIT 10; ) ;;;; PageVisited :::: QueryPage
[28/Jun/2016:03:15:04] ;;;; (action2) ;;;; UserName :::: PS1 ;;;; Action:::: Query ;;;; Query :::: (Select  *  from "dummy_1" LIMIT 10; ) ;;;; PageVisited :::: QueryPage
[28/Jun/2016:03:22:04] ;;;; (action2) ;;;; UserName :::: PS1 ;;;; Action:::: Query ;;;; Query :::: (Select  *  from "my_table"Where "my_table"."my_date" >= '03//22/2014' AND "my_table"."my_date" <= '03//22/2017' LIMIT 10; ) ;;;; PageVisited :::: QueryPage
[28/Jun/2016:03:22:10] ;;;; (action2) ;;;; UserName :::: PS1 ;;;; Action:::: Query ;;;; Query :::: (Select  *  from "posts" LIMIT 10; ) ;;;; PageVisited :::: QueryPage
[28/Jun/2016:03:22:17] ;;;; (action2) ;;;; UserName :::: PS1 ;;;; Action:::: Query ;;;; Query :::: (Select  *  from "somedata" LIMIT 10; ) ;;;; PageVisited :::: QueryPage
[28/Jun/2016:03:22:22] ;;;; (action2) ;;;; UserName :::: PS1 ;;;; Action:::: Query ;;;; Query :::: (Select  *  from "dummy_2" LIMIT 10; ) ;;;; PageVisited :::: QueryPage
[28/Jun/2016:03:22:29] ;;;; (action2) ;;;; UserName :::: PS1 ;;;; Action:::: Query ;;;; Query :::: (Select  *  from "dummy_1" LIMIT 10; ) ;;;; PageVisited :::: QueryPage
[28/Jun/2016:03:22:38] ;;;; (action2) ;;;; UserName :::: PS1 ;;;; Action:::: Query ;;;; Query :::: (Select  *  from "dummy_1" LIMIT 10; ) ;;;; PageVisited :::: QueryPage
[28/Jun/2016:03:22:55] ;;;; (action2) ;;;; UserName :::: PS1 ;;;; Action:::: Query ;;;; Query :::: (Select  *  from "dummy_1" Where"dummy_1"."age" ILIKE '%a%' LIMIT 10; ) ;;;; PageVisited :::: QueryPage
[28/Jun/2016:03:23:20] ;;;; (action2) ;;;; UserName :::: PS1 ;;;; Action:::: Query ;;;; Query :::: (Select  *  from "dummy_1" WhereLOWER("dummy_1"."name") = LOWER('ps1') LIMIT 10; ) ;;;; PageVisited :::: QueryPage
[28/Jun/2016:03:24:07] ;;;; (action2) ;;;; UserName :::: PS1 ;;;; Action:::: Query ;;;; Query :::: (Select  *  from "dummy_1" LIMIT 10; ) ;;;; PageVisited :::: QueryPage
